country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Assam,75,7849232,1335358,1104261,163055,4779,5566,3813,9028,5497,6072,8399,11147,11411,6912,9532,10935,4643,10583,7154,13358,9428,7124,5646,8756,9474,9143,8924
India,Bihar,0,9423241,9423241,9423241,42365,177,67,48,131,167,114,88,160,439,206,103,280,198,127,24,25,50,22,21,45,38,26,174
India,Bihar,10,9423241,392645,471777,42365,156,49,34,89,118,79,56,104,313,135,72,128,22,24,6,12,39,11,6,26,14,14,65
India,Bihar,15,9423241,257626,316710,42365,153,46,33,84,115,76,54,100,301,128,69,117,17,18,4,10,38,10,5,23,12,12,52
India,Bihar,20,9423241,233146,299504,42365,151,44,32,82,112,73,50,93,291,123,67,111,16,16,3,10,38,9,5,21,11,11,48
India,Bihar,25,9423241,194110,277083,42365,144,40,30,72,106,69,49,88,262,115,65,101,15,15,2,8,37,9,4,20,10,9,43
India,Bihar,30,9423241,153842,205561,42365,142,40,30,72,105,68,48,87,260,113,64,98,13,12,1,7,37,8,3,15,9,8,36
India,Bihar,50,9423241,87360,91519,42365,107,27,21,44,78,47,33,57,160,80,45,58,7,7,0,3,33,6,2,3,5,1,16
India,Bihar,75,9423241,31623,32205,42365,40,8,9,12,25,18,13,23,31,32,19,27,1,2,0,0,13,1,0,2,2,0,4
India,Chandigarh,0,11812,11812,11812,197,0,0,0,1,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,10,11812,930,1202,197,0,0,0,1,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,15,11812,848,1105,197,0,0,0,1,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,20,11812,809,1089,197,0,0,0,1,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,25,11812,753,1018,197,0,0,0,1,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,30,11812,702,935,197,0,0,0,1,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,50,11812,469,579,197,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chandigarh,75,11812,108,115,197,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Chhattisgarh,0,13543155,13543155,13543155,57778,3062,2545,1618,3004,3053,3234,2731,2653,2700,1881,9110,4670,2142,2520,2051,3058,2307,3178,2843,1660,2075,2843,5982
India,Chhattisgarh,10,13543155,3860130,3395320,57778,2875,2271,1452,2613,2697,2756,2372,2215,2380,1502,7998,3956,1813,2108,1725,2777,2078,2902,2599,1405,1879,2564,4044
India,Chhattisgarh,15,13543155,3431974,2844759,57778,2792,2179,1393,2484,2587,2617,2259,2111,2290,1436,7616,3717,1738,2020,1662,2723,2011,2832,2534,1348,1833,2500,3772
India,Chhattisgarh,20,13543155,3276040,2791192,57778,2770,2153,1373,2448,2558,2572,2227,2077,2262,1411,7520,3640,1698,1969,1619,2675,1977,2789,2492,1310,1805,2455,3643
India,Chhattisgarh,25,13543155,3055625,2677448,57778,2651,2062,1309,2324,2452,2442,2129,1962,2175,1366,7200,3464,1634,1886,1567,2626,1932,2741,2445,1264,1758,2411,3480
India,Chhattisgarh,30,13543155,2663574,2284394,57778,2622,2031,1288,2282,2415,2395,2096,1932,2149,1346,7079,3350,1521,1729,1476,2533,1859,2650,2361,1187,1699,2328,3186
India,Chhattisgarh,50,13543155,1472430,748729,57778,1993,1342,774,1238,1469,1361,1373,1145,1508,822,4344,1906,1052,1133,1051,1988,1391,2030,1808,815,1300,1812,2269
India,Chhattisgarh,75,13543155,89636,26537,57778,897,337,139,161,243,195,288,184,415,158,701,444,111,77,102,175,133,157,153,54,97,141,169
India,Dadra and Nagar Haveli,0,49152,49152,49152,425,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
India,Dadra and Nagar Haveli,10,49152,7197,1921,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Dadra and Nagar Haveli,15,49152,3567,898,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Dadra and Nagar Haveli,20,49152,3116,631,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Dadra and Nagar Haveli,25,49152,1392,438,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Dadra and Nagar Haveli,30,49152,457,259,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Dadra and Nagar Haveli,50,49152,1,1,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Dadra and Nagar Haveli,75,49152,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,0,8354,8354,8354,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
