country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,subnational2,tree_cover_loss_total,loss_gain_ratio,loss_extent_ratio,gain_extent_ratio,GDI,GDI_Category
0,5,50.0,11812.0,469.0,579.0,197.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,9.0,0.050505050505050504,0.02127659574468085,0.42127659574468085,-0.4,Acceptable
0,5,75.0,11812.0,108.0,115.0,197.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,7.0,0.04040404040404041,0.07339449541284404,1.81651376146789,-1.7431192660550459,Acceptable
0,6,0.0,13543155.0,13543155.0,13543155.0,57778.0,3062.0,2545.0,1618.0,3004.0,3053.0,3234.0,2731.0,2653.0,2700.0,1881.0,9110.0,4670.0,2142.0,2520.0,2051.0,3058.0,2307.0,3178.0,2843.0,1660.0,2075.0,2843.0,5982.0,659,70920.0,1.2274528808044445,0.005236667140214585,0.004266287710191037,0.0009703794300235484,Concerning
0,6,10.0,13543155.0,3860130.0,3395320.0,57778.0,2875.0,2271.0,1452.0,2613.0,2697.0,2756.0,2372.0,2215.0,2380.0,1502.0,7998.0,3956.0,1813.0,2108.0,1725.0,2777.0,2078.0,2902.0,2599.0,1405.0,1879.0,2564.0,4044.0,659,60981.0,1.055435365790339,0.015797909449187086,0.014968144863477431,0.000829764585709656,Concerning
0,6,15.0,13543155.0,3431974.0,2844759.0,57778.0,2792.0,2179.0,1393.0,2484.0,2587.0,2617.0,2259.0,2111.0,2290.0,1436.0,7616.0,3717.0,1738.0,2020.0,1662.0,2723.0,2011.0,2832.0,2534.0,1348.0,1833.0,2500.0,3772.0,659,58454.0,1.0116997525052354,0.017032466728341553,0.016835495596558833,0.00019697113178271985,Concerning
0,6,20.0,13543155.0,3276040.0,2791192.0,57778.0,2770.0,2153.0,1373.0,2448.0,2558.0,2572.0,2227.0,2077.0,2262.0,1411.0,7520.0,3640.0,1698.0,1969.0,1619.0,2675.0,1977.0,2789.0,2492.0,1310.0,1805.0,2455.0,3643.0,659,57443.0,0.9942020457259558,0.017534579084938193,0.01763683665741668,-0.00010225757247848852,Acceptable
0,6,25.0,13543155.0,3055625.0,2677448.0,57778.0,2651.0,2062.0,1309.0,2324.0,2452.0,2442.0,2129.0,1962.0,2175.0,1366.0,7200.0,3464.0,1634.0,1886.0,1567.0,2626.0,1932.0,2741.0,2445.0,1264.0,1758.0,2411.0,3480.0,659,55280.0,0.9567662991744406,0.018091546543981495,0.018909054969423612,-0.0008175084254421189,Acceptable
0,6,30.0,13543155.0,2663574.0,2284394.0,57778.0,2622.0,2031.0,1288.0,2282.0,2415.0,2395.0,2096.0,1932.0,2149.0,1346.0,7079.0,3350.0,1521.0,1729.0,1476.0,2533.0,1859.0,2650.0,2361.0,1187.0,1699.0,2328.0,3186.0,659,53514.0,0.9262015611208224,0.020091418488309885,0.021692274480726092,-0.0016008559924162076,Acceptable
0,6,50.0,13543155.0,1472430.0,748729.0,57778.0,1993.0,1342.0,774.0,1238.0,1469.0,1361.0,1373.0,1145.0,1508.0,822.0,4344.0,1906.0,1052.0,1133.0,1051.0,1988.0,1391.0,2030.0,1808.0,815.0,1300.0,1812.0,2269.0,659,35924.0,0.6217656934180239,0.024398426819321244,0.039240548453543835,-0.01484212163422259,Acceptable
0,6,75.0,13543155.0,89636.0,26537.0,57778.0,897.0,337.0,139.0,161.0,243.0,195.0,288.0,184.0,415.0,158.0,701.0,444.0,111.0,77.0,102.0,175.0,133.0,157.0,153.0,54.0,97.0,141.0,169.0,659,5531.0,0.09574412848958964,0.06171558619766391,0.6445887301002934,-0.5828731439026295,Acceptable
