,MAE,MSE,RMSE,R2 Score,CV Mean R2
Linear Regression,3.029532362251068e-13,3.840635467066894e-25,6.197286073005582e-13,1.0,1.0
Decision Tree,1.2385855336684732,19.70112968088536,4.438595462630646,0.9995613340745394,0.9923199201786043
